Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,0.513393,0.515625,0.513393,28.750000,0.513393,117258400
1980-12-15,0.488839,0.488839,0.486607,27.250000,0.486607,43971200
1980-12-16,0.453125,0.453125,0.450893,25.250000,0.450893,26432000
1980-12-17,0.462054,0.464286,0.462054,25.875000,0.462054,21610400
1980-12-18,0.475446,0.477679,0.475446,26.625000,0.475446,18362400
1980-12-19,0.504464,0.506696,0.504464,28.250000,0.504464,12157600
1980-12-22,0.529018,0.531250,0.529018,29.625000,0.529018,9340800
1980-12-23,0.551339,0.553571,0.551339,30.875000,0.551339,11737600
1980-12-24,0.580357,0.582589,0.580357,32.500000,0.580357,12000800
1980-12-26,0.633929,0.636161,0.633929,35.500000,0.633929,13893600
1980-12-29,0.642857,0.645089,0.642857,36.000000,0.642857,23290400
1980-12-30,0.629464,0.629464,0.627232,35.125000,0.627232,17220000
1980-12-31,0.611607,0.611607,0.609375,34.125000,0.609375,8937600
1981-01-02,0.616071,0.620536,0.616071,34.500000,0.616071,5415200
1981-01-05,0.604911,0.604911,0.602679,33.750000,0.602679,8932000
1981-01-06,0.578125,0.578125,0.575893,32.250000,0.575893,11289600
1981-01-07,0.553571,0.553571,0.551339,30.875000,0.551339,13921600
1981-01-08,0.542411,0.542411,0.540179,30.250002,0.540179,9956800
1981-01-09,0.569196,0.571429,0.569196,31.874998,0.569196,5376000
1981-01-12,0.569196,0.569196,0.564732,31.625000,0.564732,5924800
1981-01-13,0.546875,0.546875,0.544643,30.500000,0.544643,5762400
1981-01-14,0.546875,0.549107,0.546875,30.625000,0.546875,3572800
1981-01-15,0.558036,0.562500,0.558036,31.250000,0.558036,3516800
1981-01-16,0.555804,0.555804,0.553571,30.999998,0.553571,3348800
1981-01-19,0.587054,0.589286,0.587054,32.875000,0.587054,10393600
1981-01-20,0.571429,0.571429,0.569196,31.874998,0.569196,7520800
1981-01-21,0.580357,0.584821,0.580357,32.500000,0.580357,3976000
1981-01-22,0.587054,0.591518,0.587054,32.875000,0.587054,8887200
1981-01-23,0.587054,0.589286,0.584821,32.750000,0.584821,2805600
1981-01-26,0.578125,0.578125,0.575893,32.250000,0.575893,6160000
1981-01-27,0.575893,0.575893,0.571429,32.000000,0.571429,5924800
1981-01-28,0.555804,0.555804,0.553571,30.999998,0.553571,7039200
1981-01-29,0.535714,0.535714,0.533482,29.875000,0.533482,10976000
1981-01-30,0.508929,0.508929,0.504464,28.250000,0.504464,11547200
1981-02-02,0.477679,0.477679,0.475446,26.625000,0.475446,5941600
1981-02-03,0.493304,0.495536,0.493304,27.625000,0.493304,4788000
1981-02-04,0.511161,0.513393,0.511161,28.625000,0.511161,6966400
1981-02-05,0.511161,0.515625,0.511161,28.625000,0.511161,1982400
1981-02-06,0.513393,0.515625,0.513393,28.750000,0.513393,3466400
1981-02-09,0.491071,0.491071,0.486607,27.250000,0.486607,4188800
1981-02-10,0.486607,0.488839,0.486607,27.250000,0.486607,4586400
1981-02-11,0.473214,0.473214,0.470982,26.375000,0.470982,3460800
1981-02-12,0.468750,0.468750,0.466518,26.125000,0.466518,3640000
